FILIAL,NOME DO REBOCADOR,MOTIVO INDISPONIBILIDADE,,OBSERVAÇÃO DO MOTIVO,CONSEQUÊNCIAS,DATA/HORA INÍCIO,DATA/HORA FIM,CUSTO AFRETAMENTO,ref mês:
STR,SN Maraú,VISTORIA,,VISTORIA - THIAGO CLASSIFICADORA ABS - CERTIFICADO DE NAVEGAÇÃO SEGURA,NÃO HOUVE IMPACTO EM MANOBRA,16/08/2015 12:20:00,16/08/2015 18:20:00,,
STR,SN Jatobá,ABASTECIMENTO,,,NÃO HOUVE IMPACTO EM MANOBRA,11/09/2015 00:00:00,11/09/2015 00:00:00,,
STR,SN Jatobá,REPARO,,PEGOU UM PNEU NO PROPULSOR,NÃO HOUVE IMPACTO EM MANOBRA,16/09/2015 20:10:00,17/09/2015 13:00:00,,
STR,SN Jatobá,VISTORIA,,VISTORIA - THIAGO CLASSIFICADORA ABS - CERTIFICADO DE NAVEGAÇÃO SEGURA,NÃO HOUVE IMPACTO EM MANOBRA,17/08/2015 08:00:00,17/08/2015 11:30:00,,
STR,Sauípe,ABASTECIMENTO,,,NÃO HOUVE IMPACTO EM MANOBRA,09/09/2015 00:00:00,09/09/2015 00:00:00,,
STR,S/N Abrolhos,REPARO,,FALHA NA BOMBA DO GUINCHO DE PROA - MCA APAGANDO,AFRETAMENTO,20/09/2015 15:00:00,21/09/2015 22:45:00,"R$94.503,54",
STR,S/N Abrolhos,VISTORIA,,VISTORIA ANVISA - LIVRE PRATICA,NÃO HOUVE IMPACTO EM MANOBRA,26/09/2015 11:20:00,26/09/2015 11:35:00,,
VIT,S/N Aragipe,VIAGEM,,Viagem para docagem,AFRETAMENTO,14/09/2015 22:00:00,16/09/2015 05:30:00,"R$24.467,96",
VIT,S/N Aragipe,DOCAGEM,,Docagem,AFRETAMENTO,16/09/2015 05:30:00,30/09/2015 23:59:00,"R$345.851,56",
VIT,SN Oiapoque,REPARO,,Troca de Válvula reguladora de pressão do MCP de BE,NÃO HOUVE IMPACTO EM MANOBRA,02/09/2015 08:00:00,02/09/2015 09:30:00,,
VIT,SN Oiapoque,INSPEÇÃO,,Inspeção do Compressor de ar BB,NÃO HOUVE IMPACTO EM MANOBRA,03/09/2015 13:00:00,03/09/2015 16:30:00,,
VIT,SN Oiapoque,REPARO,,Reparo nos Ar Condicionado do Passadiço e marinheiros,NÃO HOUVE IMPACTO EM MANOBRA,09/09/2015 13:00:00,09/09/2015 16:00:00,,
VIT,SN Oiapoque,REPARO,,Troca do Pressostato da Bomba Hidrofor,NÃO HOUVE IMPACTO EM MANOBRA,10/09/2015 08:00:00,10/09/2015 09:35:00,,
VIT,SN Oiapoque,REPARO,,Carga de Gás no Ar Condicionado do Camarote dos Marinheiros,NÃO HOUVE IMPACTO EM MANOBRA,24/09/2015 13:00:00,24/09/2015 15:00:00,,
