FILIAL,NOME DO REBOCADOR,MOTIVO INDISPONIBILIDADE,,OBSERVAÇÃO DO MOTIVO,CONSEQUÊNCIAS,DATA/HORA INÍCIO,DATA/HORA FIM,CUSTO AFRETAMENTO,ref mês:
VIT,S/N Aragipe,REPARO,,"Reparação do motor de partida do MCA de BB, trocado porta escova e manutenção na bobina e bucha.",NÃO HOUVE IMPACTO EM MANOBRA,20/02/2015 08:00:00,20/02/2015 12:00:00,,
VIT,S/N Aragipe,REPARO,,Troca do encoder e alinhamento nas manetes de navegação.,NÃO HOUVE IMPACTO EM MANOBRA,22/02/2015 13:00:00,22/02/2015 16:00:00,,
VIT,S/N Aragipe,REPARO,,Troca do óleo da planetária no SRP de BE.,NÃO HOUVE IMPACTO EM MANOBRA,22/02/2015 08:00:00,22/02/2015 17:00:00,,
VIT,S/N Aragipe,REPARO,,Troca de duas válvulas danificadas do piano de válvula por duas novas.,NÃO HOUVE IMPACTO EM MANOBRA,25/02/2015 13:00:00,25/02/2015 15:10:00,,
VIT,SN Oiapoque,REPARO,,Troca da maçaneta e puxador da porta de acesso ao passadiço,NÃO HOUVE IMPACTO EM MANOBRA,04/02/2015 15:00:00,04/02/2015 16:10:00,,
VIT,SN Oiapoque,REPARO,,Reparação do alternador do MCA de BE.,NÃO HOUVE IMPACTO EM MANOBRA,05/02/2015 08:00:00,05/02/2015 10:00:00,,
VIT,SN Oiapoque,REPARO,,Reparação do Ar condicionado do refeitorio.,NÃO HOUVE IMPACTO EM MANOBRA,09/02/2015 10:00:00,09/02/2015 12:00:00,,
VIT,SN Oiapoque,REPARO,,"Repação do alternado do MCA de BE - trocado as peças rolamento,escova e regulador de tensão.",NÃO HOUVE IMPACTO EM MANOBRA,11/02/2015 08:00:00,11/02/2015 11:30:00,,
RJ1,Atalaia,ABASTECIMENTO,,9.000,NÃO HOUVE IMPACTO EM MANOBRA,02/02/2015 00:00:00,02/02/2015 00:00:00,,
RJ1,Atalaia,ABASTECIMENTO,,9.000,NÃO HOUVE IMPACTO EM MANOBRA,10/02/2015 00:00:00,10/02/2015 00:00:00,,
RJ1,Atalaia,ABASTECIMENTO,,9.000,NÃO HOUVE IMPACTO EM MANOBRA,20/02/2015 00:00:00,20/02/2015 00:00:00,,
RJ1,Atalaia,ABASTECIMENTO,,9.000,NÃO HOUVE IMPACTO EM MANOBRA,25/02/2015 00:00:00,25/02/2015 00:00:00,,
RJ1,Atalaia,REPARO,,PROBLEMA NO LEME BB,NÃO HOUVE IMPACTO EM MANOBRA,25/02/2015 19:00:00,26/02/2015 23:00:00,,
RJ1,S/N Araruama,ABASTECIMENTO,,9.000 água potável,NÃO HOUVE IMPACTO EM MANOBRA,02/02/2015 00:00:00,02/02/2015 00:00:00,,
RJ1,S/N Araruama,ABASTECIMENTO,,9.000 água potável,NÃO HOUVE IMPACTO EM MANOBRA,05/02/2015 00:00:00,05/02/2015 00:00:00,,
RJ1,S/N Araruama,ABASTECIMENTO,,10.000 transferencia de óleo,NÃO HOUVE IMPACTO EM MANOBRA,05/02/2015 00:00:00,05/02/2015 00:00:00,,
RJ1,S/N Araruama,ABASTECIMENTO,,9.000 água potável,NÃO HOUVE IMPACTO EM MANOBRA,12/02/2015 00:00:00,12/02/2015 00:00:00,,
RJ1,S/N Araruama,ABASTECIMENTO,,9.000 água potável,NÃO HOUVE IMPACTO EM MANOBRA,20/02/2015 00:00:00,20/02/2015 00:00:00,,
RJ1,Mossoró,ABASTECIMENTO,,18.000 água potável,NÃO HOUVE IMPACTO EM MANOBRA,04/02/2015 00:00:00,04/02/2015 00:00:00,,
RJ1,Mossoró,ABASTECIMENTO,,10.000 de óleo diesel,NÃO HOUVE IMPACTO EM MANOBRA,04/02/2015 00:00:00,04/02/2015 00:00:00,,
RJ1,Mossoró,ABASTECIMENTO,,9.000 água potável,NÃO HOUVE IMPACTO EM MANOBRA,11/02/2015 00:00:00,11/02/2015 00:00:00,,
RJ1,Mossoró,ABASTECIMENTO,,9.000 água potável,NÃO HOUVE IMPACTO EM MANOBRA,25/02/2015 00:00:00,25/02/2015 00:00:00,,
SEP,S/N Guarapari,REPARO,,AQUECIMENTO NO MCP BB,NÃO HOUVE IMPACTO EM MANOBRA,03/02/2015 00:00:00,03/02/2015 00:00:00,,
SEP,S/N Guarapari,REPARO,,TROCA DA VÁLVULA TERMOSTÁTICA MCP BB,NÃO HOUVE IMPACTO EM MANOBRA,04/02/2015 00:00:00,04/02/2015 00:00:00,,
SEP,S/N Guarapari,ABASTECIMENTO,,AGUA POTEVEL - 9000,NÃO HOUVE IMPACTO EM MANOBRA,07/02/2015 00:00:00,07/02/2015 00:00:00,,
SEP,S/N Guarapari,REPARO,,TROCA DE ROLAMENTO MANCAL 03 LINHA DE EIXO MCP BE,AFRETAMENTO,09/02/2015 21:00:00,11/02/2015 21:00:00,,
SEP,S/N Guarapari,INSPEÇÃO,,DISPONÍVEL PARA VISTORIA SEGURADORA,AFRETAMENTO,13/02/2015 08:00:00,13/02/2015 11:00:00,,
SEP,S/N Abrolhos,ABASTECIMENTO,,RECEBIMENTO DE 60.000L MGO,AFRETAMENTO,13/02/2015 13:40:00,13/02/2015 17:15:00,,
SEP,S/N Abrolhos,ABASTECIMENTO,,RECEBIMENTO ÁGUA POTÁVEL,NÃO HOUVE IMPACTO EM MANOBRA,19/02/2015 00:00:00,19/02/2015 00:00:00,,
MAC,Pirajá,REPARO,,SUSPIROS MAQUINA DO LEME,NÃO HOUVE IMPACTO EM MANOBRA,05/02/2015 00:00:00,05/02/2015 00:00:00,,
MAC,Pirajá,REPARO,,QUADRO ELETRÍCO MCP-BB,NÃO HOUVE IMPACTO EM MANOBRA,10/02/2015 00:00:00,10/02/2015 00:00:00,,
MAC,Pirajá,REPARO,,REGULADOR DE VOLTAGEM DO ALTERNADOR MCP-CE,NÃO HOUVE IMPACTO EM MANOBRA,10/02/2015 00:00:00,10/02/2015 00:00:00,,
MAC,Pirajá,REPARO,,DOBRADIÇAS PORTA ESTANQUE BB,NÃO HOUVE IMPACTO EM MANOBRA,12/02/2015 00:00:00,12/02/2015 00:00:00,,
MAC,Pirajá,REPARO,,DOBRADIÇAS PORTA ESTANQUE BE,NÃO HOUVE IMPACTO EM MANOBRA,23/02/2015 00:00:00,23/02/2015 00:00:00,,
MAC,Pirajá,REPARO,,FONTE ESTABILIZADORA DOS RADIOS,NÃO HOUVE IMPACTO EM MANOBRA,24/02/2015 00:00:00,24/02/2015 00:00:00,,
MAC,Pirajá,REPARO,,MANOMENTRO DA REVERSORA DO MCP-BR,NÃO HOUVE IMPACTO EM MANOBRA,25/02/2015 00:00:00,25/02/2015 00:00:00,,
RGD,S/N David,VISTORIA,,VISTORIA ABS,NÃO HOUVE IMPACTO EM MANOBRA,04/03/2015 00:00:00,04/03/2015 00:00:00,,fev
RGD,S/N David,ABASTECIMENTO,,ABASTECIMENTO DE 15.000 l de MGO,NÃO HOUVE IMPACTO EM MANOBRA,19/02/2015 00:00:00,19/02/2015 00:00:00,,fev
RGD,S/N David,REPARO,,TROCA DA CORREIA DO SCHOTTEL,NÃO HOUVE IMPACTO EM MANOBRA,20/03/2015 14:00:00,20/03/2015 16:00:00,,
RGD,S/N David,REPARO,,TROCA DA CORREIA DO SCHOTTEL,NÃO HOUVE IMPACTO EM MANOBRA,22/03/2015 15:00:00,22/03/2015 18:00:00,,
RGD,S/N David,ABASTECIMENTO,,ABASTECIMENTO DE 15.010 L DE MGO,NÃO HOUVE IMPACTO EM MANOBRA,25/03/2015 00:00:00,25/03/2015 00:00:00,,mar
RGD,Abaís I,ABASTECIMENTO,,ABASTECIMENTO 15.000 MGO,NÃO HOUVE IMPACTO EM MANOBRA,05/03/2015 00:00:00,05/03/2015 00:00:00,,mar
RGD,Abaís I,ABASTECIMENTO,,ABASTECIMENTO 10.000 MGO,NÃO HOUVE IMPACTO EM MANOBRA,25/03/2015 00:00:00,25/03/2015 00:00:00,,mar
MAC,Pirajá,REPARO,,TRECHOS DA BORDA DA POPA BE,NÃO HOUVE IMPACTO EM MANOBRA,04/03/2015 00:00:00,04/03/2015 00:00:00,,
MAC,Pirajá,REPARO,,TRECHOS DA BORDA DA POPA BB,NÃO HOUVE IMPACTO EM MANOBRA,05/03/2015 00:00:00,05/03/2015 00:00:00,,
MAC,Pirajá,REPARO,,ALTERNADOR MCP-CE,NÃO HOUVE IMPACTO EM MANOBRA,06/03/2015 00:00:00,06/03/2015 00:00:00,,
MAC,Pirajá,REPARO,,CHAPARIA DO REIFEITORIO,NÃO HOUVE IMPACTO EM MANOBRA,10/03/2015 00:00:00,10/03/2015 00:00:00,,
MAC,Pirajá,REPARO,,CHAPARIA DO BANHEIRO,NÃO HOUVE IMPACTO EM MANOBRA,11/03/2015 00:00:00,11/03/2015 00:00:00,,
MAC,Pirajá,REPARO,,BASE DA BOMBA REF. MCA-BE,NÃO HOUVE IMPACTO EM MANOBRA,12/03/2015 00:00:00,12/03/2015 00:00:00,,
MAC,Pirajá,REPARO,,REGULADOR DE TENSÃO DO ALTERNADOR MCP,NÃO HOUVE IMPACTO EM MANOBRA,13/03/2015 00:00:00,13/03/2015 00:00:00,,
MAC,Pirajá,REPARO,,CONFECÇÃO SUSPIRO DO PAIOL DO MESTRE BE,NÃO HOUVE IMPACTO EM MANOBRA,16/03/2015 00:00:00,16/03/2015 00:00:00,,
MAC,Pirajá,REPARO,,VAZAMENTO NO TANQUE DE AGUA DE BB,NÃO HOUVE IMPACTO EM MANOBRA,17/03/2015 00:00:00,17/03/2015 00:00:00,,
MAC,Pirajá,REPARO,,ALARME DE ALAGAMENTO DE PRAÇA DE MAUQINAS,NÃO HOUVE IMPACTO EM MANOBRA,23/03/2015 00:00:00,23/03/2015 00:00:00,,
MAC,Pirajá,REPARO,,FONTE CENTRAL TELEFONICA,NÃO HOUVE IMPACTO EM MANOBRA,24/03/2015 00:00:00,24/03/2015 00:00:00,,
MAC,Pirajá,REPARO,,LUMINÁRIA DO CONVES SUPERIOR,NÃO HOUVE IMPACTO EM MANOBRA,25/03/2015 00:00:00,25/03/2015 00:00:00,,
PNG,SN Chuí,ABASTECIMENTO MGO,,,NÃO HOUVE IMPACTO EM MANOBRA,12/03/2015 17:00:00,12/03/2015 17:00:00,,
PNG,SN Chuí,REPARO,,,AFRETAMENTO,18/03/2015 10:20:00,18/03/2015 14:00:00,,
PNG,S/N Jauá,ABASTECIMENTO MGO,,,NÃO HOUVE IMPACTO EM MANOBRA,12/03/2015 17:00:00,12/03/2015 17:00:00,,
SDR,Caburaí,ABASTECIMENTO,,RECEBIMENTO DE COMBUSTIVEL - TRANSFERENCIA,NÃO HOUVE IMPACTO EM MANOBRA,05/03/2015 00:00:00,05/03/2015 00:00:00,,mar
SDR,Caburaí,ABASTECIMENTO,,FORNECIMENTO DE COMBUSTIVEL - TRANSFERENCIA,NÃO HOUVE IMPACTO EM MANOBRA,13/03/2015 00:00:00,13/03/2015 00:00:00,,mar
SDR,S/N Pirambu,ABASTECIMENTO,,AQUISIÇÃO DE COMBUSTÍVEL,NÃO HOUVE IMPACTO EM MANOBRA,17/03/2015 00:00:00,17/03/2015 00:00:00,,
SDR,S/N Pirambu,REPARO,,TROCA DE OLEO DOS MCPS,NÃO HOUVE IMPACTO EM MANOBRA,18/03/2015 00:00:00,18/03/2015 00:00:00,,
SDR,S/N Pirambu,REPARO,,MANUTENÇÃO DO ACOPLAMENTO DE MCP,NÃO HOUVE IMPACTO EM MANOBRA,19/03/2015 00:00:00,19/03/2015 00:00:00,,
SDR,Carajás,ABASTECIMENTO,,RECEBIMENTO DE COMBUSTIVEL - TRANSFERENCIA,NÃO HOUVE IMPACTO EM MANOBRA,13/03/2015 00:00:00,13/03/2015 00:00:00,,
SDR,Carajás,ABASTECIMENTO,,AQUISIÇÃO DE COMBUSTÍVEL,NÃO HOUVE IMPACTO EM MANOBRA,14/03/2015 00:00:00,14/03/2015 00:00:00,,
SDR,Carajás,DOCAGEM,,DOCAGEM BASE NAVAL DE ARATU,NÃO HOUVE IMPACTO EM MANOBRA,14/03/2015 00:00:00,14/03/2015 00:00:00,,
SDR,Carajás,REPARO,,MANUTENÇÃO - PERDA SINAL DE GIRO DO SCHOTTEL BB - TROCA DE DISJUNTOR,NÃO HOUVE IMPACTO EM MANOBRA,21/03/2015 00:00:00,21/03/2015 00:00:00,,
STR,SN Maraú,REPARO,PREVENTIVO,TROCA DE OLEO MCPS,NÃO HOUVE IMPACTO EM MANOBRA,11/03/2015 00:00:00,11/03/2015 00:00:00,,
STR,SN Maraú,REPARO,CORRETIVO,CHAVE DE PARTIDA DO MCP BE,NÃO HOUVE IMPACTO EM MANOBRA,13/03/2015 00:00:00,13/03/2015 00:00:00,,
STR,SN Maraú,ABASTECIMENTO,,,NÃO HOUVE IMPACTO EM MANOBRA,25/03/2015 00:00:00,25/03/2015 00:00:00,,
STR,SN Jatobá,REPARO,CORRETIVO,REPARO NA PLANETARIA DE BE E NOS DISCOS DA EMBREAGEM,AFRETAMENTO,15/03/2015 13:00:00,15/03/2015 19:20:00,,
STR,SN Jatobá,ABASTECIMENTO,,,NÃO HOUVE IMPACTO EM MANOBRA,25/03/2015 00:00:00,25/03/2015 00:00:00,,
STR,Sauípe,REPARO,PREVENTIVO,MANUTENÇÃO TUBULAÇÃO ESCAPE,NÃO HOUVE IMPACTO EM MANOBRA,11/03/2015 00:00:00,11/03/2015 00:00:00,,
STR,Sauípe,ABASTECIMENTO,,,NÃO HOUVE IMPACTO EM MANOBRA,25/03/2015 00:00:00,25/03/2015 00:00:00,,
STR,Sauípe,REPARO,CORRETIVO,VAZAMENTO DA TUBULAÇÃO,NÃO HOUVE IMPACTO EM MANOBRA,26/03/2015 09:10:00,26/03/2015 13:40:00,,mar
VIT,S/N Aragipe,REPARO,,Troca dos filtros RACOR BB e BE,NÃO HOUVE IMPACTO EM MANOBRA,05/03/2015 08:00:00,05/03/2015 10:00:00,,
VIT,S/N Aragipe,REPARO,,Recuperação da caixa de tomada de incendio e instalação no seu devido lugar.,NÃO HOUVE IMPACTO EM MANOBRA,06/03/2015 13:00:00,06/03/2015 15:40:00,,
VIT,S/N Aragipe,REPARO,,Reparação Bomba de transferencia diesel ( troca de juntas das valvulas do piano de óleo diesel),NÃO HOUVE IMPACTO EM MANOBRA,09/03/2015 09:00:00,09/03/2015 12:00:00,,
VIT,S/N Aragipe,REPARO,,Limpeza suspiro do carter do MCP de BB.,NÃO HOUVE IMPACTO EM MANOBRA,18/03/2015 08:00:00,18/03/2015 08:35:00,,
VIT,S/N Aragipe,REPARO,,Trocar o filtro de combustivel do MCP de BB.,NÃO HOUVE IMPACTO EM MANOBRA,18/03/2015 08:40:00,18/03/2015 09:20:00,,
VIT,S/N Aragipe,REPARO,,Limpeza do aftercooler do MCP de BB.,NÃO HOUVE IMPACTO EM MANOBRA,18/03/2015 11:00:00,18/03/2015 13:50:00,,
VIT,S/N Aragipe,REPARO,,Regular válvulas de admissão e descarga.,NÃO HOUVE IMPACTO EM MANOBRA,18/03/2015 14:00:00,18/03/2015 16:56:00,,
VIT,S/N Aragipe,REPARO,,"Troca de óleo lubrificante, filtro lubrificante e do óleo diesel do MCA BB",NÃO HOUVE IMPACTO EM MANOBRA,20/03/2015 08:00:00,20/03/2015 10:00:00,,
VIT,S/N Aragipe,REPARO,,Substituição do rele termostástico do freezer da cozinha,NÃO HOUVE IMPACTO EM MANOBRA,30/03/2015 08:00:00,30/03/2015 12:00:00,,
VIT,SN Oiapoque,REPARO,,Limpeza do resfriador da unidade hidraulilca de BB e BE do Schottel.,NÃO HOUVE IMPACTO EM MANOBRA,06/03/2015 08:00:00,06/03/2015 12:00:00,,
VIT,SN Oiapoque,REPARO,,Preparação e instalação de mangotes para purificação do óleo do SRP de BE.,NÃO HOUVE IMPACTO EM MANOBRA,10/03/2015 13:00:00,10/03/2015 17:00:00,,
VIT,SN Oiapoque,REPARO,,Troca de óleo do motor da planetária do SRP de BE,NÃO HOUVE IMPACTO EM MANOBRA,11/03/2015 13:00:00,11/03/2015 16:00:00,,
VIT,SN Oiapoque,REPARO,,Troca de óleo do motor da planetária do SRP de BB,NÃO HOUVE IMPACTO EM MANOBRA,11/03/2015 08:00:00,11/03/2015 11:00:00,,
VIT,SN Oiapoque,REPARO,,Retirada de óleo queimado do tanque de borra e do residuo oleoso da dala na praça de maquinas,NÃO HOUVE IMPACTO EM MANOBRA,12/03/2015 08:00:00,12/03/2015 12:00:00,,
VIT,SN Oiapoque,REPARO,,Troca da paleta do limpador,NÃO HOUVE IMPACTO EM MANOBRA,19/03/2015 08:00:00,19/03/2015 13:00:00,,
RJ1,ATALAIA,ABASTECIMENTO,,9.000 LTS DE AGUA,NÃO HOUVE IMPACTO EM MANOBRA,02/03/2015 00:00:00,02/03/2015 00:00:00,,
RJ1,ATALAIA,ABASTECIMENTO,,9.000 LTS DE AGUA,NÃO HOUVE IMPACTO EM MANOBRA,11/03/2015 00:00:00,11/03/2015 00:00:00,,
RJ1,ATALAIA,ABASTECIMENTO,,TRANSF. DE 4.000 LTS DE OLEO P/ O MOSSORO,NÃO HOUVE IMPACTO EM MANOBRA,22/03/2015 00:00:00,22/03/2015 00:00:00,,
RJ1,ATALAIA,ABASTECIMENTO,,TRANSF. 7.000 LTS DE OLEO P/ O MOSSORO,NÃO HOUVE IMPACTO EM MANOBRA,24/03/2015 00:00:00,24/03/2015 00:00:00,,
RJ1,ATALAIA,ABASTECIMENTO,,RECEBIMENTO DE 40.000 LTS DE OLEO,NÃO HOUVE IMPACTO EM MANOBRA,24/03/2015 00:00:00,24/03/2015 00:00:00,,
RJ1,ATALAIA,ABASTECIMENTO,,9.000 LTS DE AGUA,NÃO HOUVE IMPACTO EM MANOBRA,25/03/2015 00:00:00,25/03/2015 00:00:00,,
RJ1,ATALAIA,ABASTECIMENTO,,9.000 LTS DE AGUA,NÃO HOUVE IMPACTO EM MANOBRA,30/03/2015 00:00:00,30/03/2015 00:00:00,,
RJ1,S/N Araruama,ABASTECIMENTO,,9.000 LTS AGUA,NÃO HOUVE IMPACTO EM MANOBRA,02/03/2015 00:00:00,02/03/2015 00:00:00,,
RJ1,S/N Araruama,ABASTECIMENTO,,9.000 LTS AGUA,NÃO HOUVE IMPACTO EM MANOBRA,11/03/2015 00:00:00,11/03/2015 00:00:00,,
RJ1,S/N Araruama,ABASTECIMENTO,,9.000 LTS AGUA,NÃO HOUVE IMPACTO EM MANOBRA,18/03/2015 00:00:00,18/03/2015 00:00:00,,
RJ1,S/N Araruama,ABASTECIMENTO,,9.000 LTS AGUA,NÃO HOUVE IMPACTO EM MANOBRA,27/03/2015 00:00:00,27/03/2015 00:00:00,,
RJ1,Mossoró,ABASTECIMENTO,,9.000 LTS DE AGUA,NÃO HOUVE IMPACTO EM MANOBRA,02/03/2015 00:00:00,02/03/2015 00:00:00,,
RJ1,Mossoró,ABASTECIMENTO,,9.000 LTS DE AGUA,NÃO HOUVE IMPACTO EM MANOBRA,11/03/2015 00:00:00,11/03/2015 00:00:00,,
RJ1,Mossoró,ABASTECIMENTO,,18.000 LTS AGUA,NÃO HOUVE IMPACTO EM MANOBRA,18/03/2015 00:00:00,18/03/2015 00:00:00,,
RJ1,Mossoró,ABASTECIMENTO,,4.000 LTS OLEO DIESEL,NÃO HOUVE IMPACTO EM MANOBRA,20/03/2015 00:00:00,20/03/2015 00:00:00,,
RJ1,Mossoró,ABASTECIMENTO,,7.000 LTS OLEO DIESEL,NÃO HOUVE IMPACTO EM MANOBRA,23/03/2015 00:00:00,23/03/2015 00:00:00,,
RJ1,Mossoró,ABASTECIMENTO,,9.000 LTS DE AGUA,NÃO HOUVE IMPACTO EM MANOBRA,27/03/2015 00:00:00,27/03/2015 00:00:00,,
SEP,S/N Guarapari,ABASTECIMENTO,,60.000 LTS OLEO,,09/03/2015 00:00:00,09/03/2015 00:00:00,,
SEP,S/N Abrolhos,ABASTECIMENTO,,40.000 LTS DE AGUA,NÃO HOUVE IMPACTO EM MANOBRA,25/03/2015 00:00:00,25/03/2015 00:00:00,,
SEP,S/N Abrolhos,REPARO,,PROBLEMA NO MANCAL Nº 3,PERDA DE MANOBRA,27/03/2015 18:00:00,28/03/2015 20:00:00,,
RGD,Abaís I,REPARO,,CORRETIVA - BOMBA DE CIRCULAÇÃO DE ÁGUA DO AFTERCOOLER (MCP BE),AFRETAMENTO,05/04/2015 22:00:00,08/04/2015 21:00:00,,
SDR,Caburaí,REPARO,,REPARO NO SOPRADOR DO MCP,AFRETAMENTO,01/04/2015 00:00:00,30/04/2015 00:00:00,,
SDR,Caburaí,REPARO,,SUBSTITUIÇÃO DE TRECHO DA REDE DE REFRIGERAÇÃO DE ÁGUA SALGADA DO TROCADOR MCP BE,AFRETAMENTO,05/04/2015 00:00:00,05/04/2015 00:00:00,,
SDR,S/N Pirambu,REPARO,,INSTALAÇÃO DA BOMBA HIDROFORA DE AGUA DOCE,NÃO HOUVE IMPACTO EM MANOBRA,05/04/2015 00:00:00,05/04/2015 00:00:00,,
SDR,S/N Pirambu,REPARO,,CALIBRAÇÃO DOS CILINDROS MCP,NÃO HOUVE IMPACTO EM MANOBRA,13/04/2015 00:00:00,13/04/2015 00:00:00,,
SDR,S/N Pirambu,INSPEÇÃO,,VERIFICAÇÃO DE RUÍDO ANORMAL NO MCP BE,NÃO HOUVE IMPACTO EM MANOBRA,15/04/2015 00:00:00,15/04/2015 00:00:00,,
SDR,Carajás,REPARO,,REPARO DA VARANDA DO CONVÉS DO PASSADIÇO A BB.,NÃO HOUVE IMPACTO EM MANOBRA,05/04/2015 00:00:00,05/04/2015 00:00:00,,
SDR,Carajás,REPARO,,SUBSTITUIÃO DA BOMBA D'ÁGUA DO MCA-BB,NÃO HOUVE IMPACTO EM MANOBRA,05/04/2015 00:00:00,05/04/2015 00:00:00,,
SDR,Carajás,REPARO,,REPOSIÇAO DO RESFRIADOS DE AGUA DOCE DO MCA BB,NÃO HOUVE IMPACTO EM MANOBRA,29/04/2015 00:00:00,29/04/2015 00:00:00,,
SDR,Carajás,ABASTECIMENTO,,ABASTECIMENTO MGO,NÃO HOUVE IMPACTO EM MANOBRA,28/04/2015 00:00:00,28/04/2015 00:00:00,,
SDR,Pituba,ABASTECIMENTO,,SUBSTITUIÇÃO DA CAMARA DE COMBUSTÃO 2 CABEÇOTE BANCADA (B) MCP CE,NÃO HOUVE IMPACTO EM MANOBRA,01/04/2015 00:00:00,01/04/2015 00:00:00,,
SDR,Pituba,REPARO,,SUBSTITUIÇÃO DA JUNTA DO CABEÇOTE 2 BANCADA (B) MCP CE,NÃO HOUVE IMPACTO EM MANOBRA,02/04/2015 00:00:00,02/04/2015 00:00:00,,
SDR,Pituba,REPARO,,SUBSTITUIÇÃO DA JUNTA DE VEDAÇÃO DA TURBINA E COLETOR DE ESCAPE MCP BE,NÃO HOUVE IMPACTO EM MANOBRA,03/04/2015 00:00:00,03/04/2015 00:00:00,,
SDR,Pituba,REPARO,,RECUPERAÇÃO DA CALHA DA PORTA ESTANQUE DA SAÍDA DE EMERGENCIA DA PRAÇA DE MÁQUINAS,NÃO HOUVE IMPACTO EM MANOBRA,05/04/2015 00:00:00,05/04/2015 00:00:00,,
SDR,Pituba,REPARO,,RECUPERAÇÃO DE DUAS VÁLVULAS DE 2'' DA REDE DAS BOMBAS DE S.GERAIS E INCÊNDIO,NÃO HOUVE IMPACTO EM MANOBRA,05/04/2015 00:00:00,05/04/2015 00:00:00,,
SDR,Pituba,REPARO,,RECUPERAÇÃO NAS CAIXAS DE CONTEÇÃO DOS SUSOPIROS DOS TQ. DE O. DIESEL,NÃO HOUVE IMPACTO EM MANOBRA,05/04/2015 00:00:00,05/04/2015 00:00:00,,
SDR,Pituba,REPARO,,RETIRADO CURTO CIRCUITO NA ILUMINAÇÃO DA PRAÇA DE MAQUINA,NÃO HOUVE IMPACTO EM MANOBRA,05/04/2015 00:00:00,05/04/2015 00:00:00,,
SDR,Pituba,REPARO,,FABRICAÇÃO E INSTALAÇÃO DE PROTEÇÕES DOS ACOPLAMENTOS DAS BOMBAS DE HIDROFOR E TRANFERENÇA DE COMBUSTIVEL,NÃO HOUVE IMPACTO EM MANOBRA,05/04/2015 00:00:00,05/04/2015 00:00:00,,
SDR,Pituba,REPARO,,REVISÃO NA BOMBA DE SERVIÇOS GERAIS,NÃO HOUVE IMPACTO EM MANOBRA,05/04/2015 00:00:00,05/04/2015 00:00:00,,
SDR,Pituba,REPARO,,SUBSTITUIDO LAMPADAS NOS REFLETORES BB/BE A RÉ E VANTE,NÃO HOUVE IMPACTO EM MANOBRA,05/04/2015 00:00:00,05/04/2015 00:00:00,,
SDR,Pituba,REPARO,,SUBSTITUIÇÃO DO MANCAL DA MÁQUINA DO FERRO.,NÃO HOUVE IMPACTO EM MANOBRA,05/04/2015 00:00:00,05/04/2015 00:00:00,,
SDR,Pituba,REPARO,,REPARO DA BOMBA DE EMERGENCIA N2,NÃO HOUVE IMPACTO EM MANOBRA,06/04/2015 00:00:00,06/04/2015 00:00:00,,
SDR,Pituba,REPARO,,REPARO DAS VALVULAS DA BOMBA DE EMERGENCIA N2,NÃO HOUVE IMPACTO EM MANOBRA,07/04/2015 00:00:00,07/04/2015 00:00:00,,
SDR,Pituba,REPARO,,ABASTECIMENTO MGO,NÃO HOUVE IMPACTO EM MANOBRA,13/04/2015 00:00:00,13/04/2015 00:00:00,,
SDR,S/N Caeté,REPARO,,SUBSTITUIÇÃO DOS MOTORES DE PARTIDA MCP BB,NÃO HOUVE IMPACTO EM MANOBRA,05/04/2015 00:00:00,05/04/2015 00:00:00,,
SDR,S/N Caeté,REPARO,,INSTALAÇÃO DA BOMBA HIDROFORA DE AGUA DOCE,NÃO HOUVE IMPACTO EM MANOBRA,05/04/2015 00:00:00,05/04/2015 00:00:00,,
STR,SN Jatobá,REPARO,PREVENTIVO,TROCA DOS DISCOS DE EMBREAGEM,NÃO HOUVE IMPACTO EM MANOBRA,30/04/2015 00:00:00,30/04/2015 00:00:00,,
STR,Sauípe,REPARO,CORRETIVO,FALHA NO GIRO DO SRP/BE,AFRETAMENTO,22/04/2015 15:45:00,23/04/2015 09:40:00,,
VIT,S/N Aragipe,REPARO,,Retirado vazamento de óleo hidraulico da bomba de governo do SRP de BB.,NÃO HOUVE IMPACTO EM MANOBRA,06/04/2015 08:00:00,06/04/2015 11:00:00,,
VIT,S/N Aragipe,ABASTECIMENTO,,Abastecimento de 20.000 Lts de MGO.,NÃO HOUVE IMPACTO EM MANOBRA,07/04/2015 16:25:00,07/04/2015 17:15:00,,
VIT,S/N Aragipe,REPARO,,Regulagem da lona de freio do guincho de proa.,NÃO HOUVE IMPACTO EM MANOBRA,08/04/2015 13:00:00,08/04/2015 15:00:00,,
VIT,S/N Aragipe,REPARO,,Troca da embreagem do SRP de BB e do anel de vedação do SRP de BB.,NÃO HOUVE IMPACTO EM MANOBRA,09/04/2015 08:00:00,09/04/2015 16:00:00,,
VIT,S/N Aragipe,REPARO,,Desmontagem do conjunto de freio do guinho de proa.,NÃO HOUVE IMPACTO EM MANOBRA,14/04/2015 08:00:00,14/04/2015 12:00:00,,
VIT,S/N Aragipe,REPARO,,Colocado carga de gás no ar condicionado do refeitorio,NÃO HOUVE IMPACTO EM MANOBRA,20/04/2015 08:00:00,20/04/2015 10:00:00,,
VIT,S/N Aragipe,REPARO,,Montagem de todo conjunto da cinta de freio.,NÃO HOUVE IMPACTO EM MANOBRA,22/04/2015 08:00:00,22/04/2015 16:00:00,,
VIT,S/N Aragipe,REPARO,,Preparação de um suporte na cinta de freio do guincho de proa.,NÃO HOUVE IMPACTO EM MANOBRA,23/04/2015 08:00:00,23/04/2015 12:00:00,,
